MSMEG_0482	0.434938618
MSMEG_0483	#DIV/0!
MSMEG_0484	0.76190359
MSMEG_0485	0.233655335
MSMEG_0486	#DIV/0!
MSMEG_0487	#DIV/0!
MSMEG_0488	#DIV/0!
MSMEG_0489	#DIV/0!
MSMEG_0490	0.63618095
MSMEG_0491	0.424848754
MSMEG_0492	0.565792088
MSMEG_0493	1.373219883
MSMEG_0494	0.975490395
MSMEG_0496	#DIV/0!
MSMEG_0497	0.296913834
MSMEG_0498	#DIV/0!
MSMEG_0499	0.334923279
MSMEG_0500	0.322712359
MSMEG_0501	#DIV/0!
MSMEG_0502	0.8735525
MSMEG_0503	0.34283124
MSMEG_0504	0.849988274
MSMEG_0505	0.752259709
MSMEG_0506	#DIV/0!
MSMEG_0507	#DIV/0!
MSMEG_0508	0.942771283
MSMEG_0509	0.881293738
MSMEG_0510	#DIV/0!
MSMEG_0511	#DIV/0!
MSMEG_0512	#DIV/0!
MSMEG_0513	#DIV/0!
MSMEG_0514	#DIV/0!
MSMEG_0515	0.310837963
MSMEG_0516	#DIV/0!
MSMEG_0517	#DIV/0!
MSMEG_0518	0.450476521
MSMEG_0519	4.682873434
MSMEG_0520	1.110874778
MSMEG_0522	#DIV/0!
MSMEG_0523	0.913125014
MSMEG_0524	0.714416069
MSMEG_0525	#DIV/0!
MSMEG_0526	0.265983877
MSMEG_0527	#DIV/0!
MSMEG_0528	#DIV/0!
MSMEG_0529	0.165576993
MSMEG_0530	0.480454841
MSMEG_0531	2.174485108
MSMEG_0532	0.521848865
MSMEG_0533	#DIV/0!
MSMEG_0534	0.311236474
MSMEG_0535	0.473354557
MSMEG_0536	1.078096227
MSMEG_0537	0.772863901
MSMEG_0538	0.255526248
MSMEG_0539	0.831529846
MSMEG_0540	1.424016711
MSMEG_0541	0.476274627
MSMEG_0542	0.517996393
MSMEG_0544	0.8846621
MSMEG_0543	#DIV/0!
MSMEG_0545	1.128884754
MSMEG_0546	1.140837904
MSMEG_0548	0.482092086
MSMEG_0547	#DIV/0!
MSMEG_0549	0.260074263
MSMEG_0550	1.446814935
MSMEG_0551	0.641473663
MSMEG_0552	0.471760774
MSMEG_0553	0.871892946
MSMEG_0554	#DIV/0!
MSMEG_0555	#DIV/0!
MSMEG_0556	0.350633653
MSMEG_0557	1.446158305
MSMEG_0558	0.301318088
MSMEG_0559	2.199191122
